Resampled version already cached
Resampled version already cached
         2617967 function calls (2562120 primitive calls) in 2.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 loader.py:2(<module>)
        1    0.000    0.000    0.009    0.009 process_executor.py:16(<module>)
        5    0.000    0.000    0.009    0.002 api.py:384(callback)
        1    0.000    0.000    0.009    0.009 text.py:1(<module>)
        2    0.000    0.000    0.009    0.004 adapters.py:1(<module>)
    27294    0.006    0.000    0.009    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.009    0.009 _laplacian.py:1(<module>)
        1    0.000    0.000    0.009    0.009 codegen.py:739(finalize)
        2    0.000    0.000    0.009    0.004 image.py:1(<module>)
    73/34    0.000    0.000    0.009    0.000 core.py:4108(parseImpl)
       31    0.000    0.000    0.009    0.000 core.py:5392(__init__)
        2    0.000    0.000    0.009    0.004 __init__.py:7(<module>)
       80    0.003    0.000    0.009    0.000 enum.py:157(__new__)
      126    0.000    0.000    0.008    0.000 _distn_infrastructure.py:638(__init__)
    36456    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
     2734    0.002    0.000    0.008    0.000 __init__.py:2100(dist_factory)
        1    0.000    0.000    0.008    0.008 async_case.py:1(<module>)
    74/32    0.000    0.000    0.008    0.000 core.py:4373(parseImpl)
        1    0.000    0.000    0.008    0.008 _importlib.py:1(<module>)
       92    0.001    0.000    0.008    0.000 __init__.py:1349(_preprocess_data)
    93/26    0.000    0.000    0.008    0.000 core.py:4379(leave_whitespace)
        1    0.000    0.000    0.008    0.008 ir_utils.py:6(<module>)
    98527    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.008    0.008 general_name.py:6(<module>)
      688    0.001    0.000    0.008    0.000 __init__.py:2085(<genexpr>)
     3461    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        8    0.001    0.000    0.008    0.001 format.py:719(read_array)
       13    0.000    0.000    0.008    0.001 _docscrape.py:563(__init__)
       26    0.000    0.000    0.008    0.000 dataclasses.py:996(dataclass)
     1290    0.001    0.000    0.008    0.000 core.py:499(copy)
        4    0.000    0.000    0.008    0.002 utils.py:5(<module>)
        1    0.000    0.000    0.008    0.008 name.py:5(<module>)
        1    0.000    0.000    0.008    0.008 textpath.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _add_newdocs_scalars.py:1(<module>)
     5164    0.005    0.000    0.008    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.008    0.008 __init__.py:19(<module>)
        1    0.000    0.000    0.008    0.008 api.py:41(__init__)
        1    0.000    0.000    0.008    0.008 __init__.py:322(_sanity_check)
        1    0.008    0.008    0.008    0.008 {method 'dot' of 'numpy.ndarray' objects}
     4131    0.003    0.000    0.007    0.000 artist.py:1522(aliased_name)
        1    0.000    0.000    0.007    0.007 files.py:3(<module>)
     1820    0.004    0.000    0.007    0.000 functools.py:34(update_wrapper)
      935    0.000    0.000    0.007    0.000 artist.py:1509(is_alias)
        5    0.000    0.000    0.007    0.001 exceptions.py:3(<module>)
        1    0.000    0.000    0.007    0.007 universaldetector.py:28(<module>)
     6055    0.001    0.000    0.007    0.000 abc.py:96(__instancecheck__)
        3    0.000    0.000    0.007    0.002 subprocess.py:736(__init__)
